customer_id,merchant_id,merchant_category,transaction_amount,transaction_date,transaction_time,state,payment_method,transaction_status,is_fraud,fraud_type
1376,200,Retail,459.54,2025-11-15,03:48:00,CA,Mobile Wallet,Approved,False,None
1023,232,Travel,331.27,2026-03-21,17:55:00,TX,Mobile Wallet,Approved,False,None
1052,249,Travel,1014.44,2026-06-10,06:12:00,CA,Debit Card,Approved,False,None
1407,207,Retail,170.24,2026-05-06,11:50:00,TX,Credit Card,Approved,False,None
1404,215,Retail,466.28,2025-11-27,02:19:00,NY,Debit Card,Approved,False,None
1364,220,Grocery,1485.4,2026-02-08,12:46:00,IL,Debit Card,Approved,False,None
1425,200,Gas,1835.87,2025-10-17,04:01:00,CA,Credit Card,Approved,False,None
1131,224,Gas,1852.35,2026-05-15,18:03:00,FL,Mobile Wallet,Approved,False,None
1466,241,Gas,933.72,2025-08-13,01:52:00,FL,Debit Card,Approved,False,None
1045,250,Grocery,373.94,2025-11-12,10:44:00,IL,Debit Card,Approved,False,None
1245,246,Gas,256.94,2025-10-26,15:04:00,TX,Credit Card,Approved,False,None
1013,231,Electronics,865.58,2026-05-24,20:52:00,NY,Mobile Wallet,Approved,False,None
1259,215,Restaurant,1942.15,2025-12-30,09:55:00,FL,Debit Card,Approved,False,None
1200,202,Travel,1018.49,2026-05-03,09:16:00,IL,Credit Card,Approved,False,None
1099,223,Travel,1431.41,2025-07-13,08:02:00,CA,Mobile Wallet,Approved,False,None
1216,218,Retail,541.75,2025-09-18,02:37:00,TX,Mobile Wallet,Approved,False,None
1177,247,Electronics,1893.41,2025-07-22,11:56:00,CA,Debit Card,Approved,False,None
1059,237,Restaurant,853.4,2025-11-25,10:33:00,IL,Credit Card,Approved,False,None
1033,222,Gas,1047.68,2026-05-10,22:20:00,CA,Mobile Wallet,Approved,False,None
1242,201,Gas,1338.19,2025-11-25,16:32:00,TX,Credit Card,Approved,False,None
1051,230,Travel,156.65,2026-05-20,02:53:00,TX,Mobile Wallet,Approved,False,None
1290,217,Restaurant,1073.54,2026-05-08,05:14:00,TX,Debit Card,Approved,False,None
1061,244,Grocery,482.37,2025-08-02,01:56:00,TX,Credit Card,Approved,False,None
1260,233,Travel,1823.32,2026-06-06,09:13:00,NY,Credit Card,Approved,False,None
1121,249,Gas,638.51,2026-03-21,14:39:00,TX,Debit Card,Approved,False,None
1418,244,Gas,41.88,2025-10-25,07:54:00,CA,Credit Card,Approved,False,None
1295,221,Grocery,246.51,2025-12-16,15:36:00,FL,Credit Card,Approved,False,None
1027,248,Gas,376.24,2026-01-17,05:11:00,NY,Debit Card,Approved,False,None
1413,204,Travel,974.29,2026-06-23,18:47:00,TX,Debit Card,Approved,False,None
1244,209,Gas,1157.96,2026-05-26,08:27:00,IL,Credit Card,Approved,False,None
1275,224,Retail,223.29,2026-03-13,07:41:00,TX,Debit Card,Approved,False,None
1008,240,Travel,1153.15,2025-07-19,08:49:00,NY,Credit Card,Approved,True,Account Takeover
1254,211,Restaurant,1862.24,2025-09-18,08:55:00,TX,Credit Card,Approved,False,None
1458,248,Restaurant,577.46,2025-12-23,16:41:00,FL,Debit Card,Approved,False,None
1117,223,Travel,429.19,2026-02-25,22:58:00,NY,Credit Card,Approved,False,None
1408,208,Electronics,964.7,2026-06-15,22:10:00,FL,Mobile Wallet,Approved,False,None
1431,211,Travel,140.34,2026-05-20,09:08:00,TX,Mobile Wallet,Approved,False,None
